Area,CancerType,Year,Sex,Race,AgeAdjustedRate,CaseCount,Population,DeathCount,Code
New Jersey,Brain and Other Nervous System,2017,Male and Female,All Races,6.6,660,8888543,460,NJ
New Mexico,Brain and Other Nervous System,2017,Male and Female,All Races,5.2,129,2093395,113,NM
New York,Brain and Other Nervous System,2017,Male and Female,All Races,6.8,1489,19590719,922,NY
North Carolina,Brain and Other Nervous System,2017,Male and Female,All Races,6,677,10270800,517,NC
North Dakota,Brain and Other Nervous System,2017,Male and Female,All Races,5.7,48,755176,36,ND
Ohio,Brain and Other Nervous System,2017,Male and Female,All Races,7.1,940,11664129,693,OH
Oklahoma,Brain and Other Nervous System,2017,Male and Female,All Races,6.2,266,3932640,215,OK
Oregon,Brain and Other Nervous System,2017,Male and Female,All Races,6.9,323,4146592,246,OR
Pennsylvania,Brain and Other Nervous System,2017,Male and Female,All Races,7.2,1089,12790447,732,PA
Rhode Island,Brain and Other Nervous System,2017,Male and Female,All Races,7,81,1056486,72,RI
South Carolina,Brain and Other Nervous System,2017,Male and Female,All Races,6.5,384,5021219,295,SC
South Dakota,Brain and Other Nervous System,2017,Male and Female,All Races,5.6,56,873286,59,SD
Tennessee,Brain and Other Nervous System,2017,Male and Female,All Races,6.5,496,6708794,405,TN
Texas,Brain and Other Nervous System,2017,Male and Female,All Races,5.9,1679,28322717,1169,TX
Utah,Brain and Other Nervous System,2017,Male and Female,All Races,7,201,3103118,126,UT
Vermont,Brain and Other Nervous System,2017,Male and Female,All Races,9.5,70,624525,61,VT
Virginia,Brain and Other Nervous System,2017,Male and Female,All Races,6.3,588,8465207,415,VA
Washington,Brain and Other Nervous System,2017,Male and Female,All Races,6.9,556,7425432,433,WA
West Virginia,Brain and Other Nervous System,2017,Male and Female,All Races,6.4,137,1817048,117,WV
Wisconsin,Brain and Other Nervous System,2017,Male and Female,All Races,6.2,415,5792051,343,WI
Wyoming,Brain and Other Nervous System,2017,Male and Female,All Races,6.8,42,578934,46,WY
Alabama,Cervix,2017,Female,All Races,9.6,238,2516043,89,AL
Alaska,Cervix,2017,Female,All Races,8.2,28,353363,Na,AK
Arizona,Cervix,2017,Female,All Races,6.2,224,3544856,78,AZ
Arkansas,Cervix,2017,Female,All Races,7.7,124,1527580,55,AR
California,Cervix,2017,Female,All Races,7.2,1480,19817679,490,CA
Colorado,Cervix,2017,Female,All Races,6.2,180,2789162,55,CO
Connecticut,Cervix,2017,Female,All Races,4.5,89,1830414,25,CT
Delaware,Cervix,2017,Female,All Races,6.6,37,494227,20,DE
District of Columbia,Cervix,2017,Female,All Races,7.6,26,365633,Na,DC
Florida,Cervix,2017,Female,All Races,8.6,1017,10720481,355,FL
Georgia,Cervix,2017,Female,All Races,8.2,449,5346767,123,GA
Hawaii,Cervix,2017,Female,All Races,6.3,46,710021,Na,HI
Idaho,Cervix,2017,Female,All Races,7.4,60,857853,Na,ID
Illinois,Cervix,2017,Female,All Races,7.3,514,6504145,157,IL
Indiana,Cervix,2017,Female,All Races,7.8,268,3376776,105,IN
Iowa,Cervix,2017,Female,All Races,8,123,1579859,25,IA
Kansas,Cervix,2017,Female,All Races,7,98,1460471,32,KS
Kentucky,Cervix,2017,Female,All Races,10.9,247,2259543,65,KY
Louisiana,Cervix,2017,Female,All Races,9.6,230,2388820,96,LA
Maine,Cervix,2017,Female,All Races,6.5,48,681341,Na,ME
Maryland,Cervix,2017,Female,All Races,6.9,229,3104138,67,MD
Massachusetts,Cervix,2017,Female,All Races,4.8,186,3532186,46,MA
Michigan,Cervix,2017,Female,All Races,6.4,326,5065155,121,MI
Minnesota,Cervix,2017,Female,All Races,5.6,161,2795630,48,MN
Mississippi,Cervix,2017,Female,All Races,9.3,143,1539413,61,MS
Missouri,Cervix,2017,Female,All Races,7.6,246,3109948,87,MO
Montana,Cervix,2017,Female,All Races,6.2,33,522925,Na,MT
Nebraska,Cervix,2017,Female,All Races,9.5,85,960319,27,NE
Nevada,Cervix,2017,Female,All Races,9.3,140,1481115,38,NV
New Hampshire,Cervix,2017,Female,All Races,4.7,37,681409,Na,NH
New Jersey,Cervix,2017,Female,All Races,7.6,381,4548298,114,NJ
New Mexico,Cervix,2017,Female,All Races,6.8,73,1057085,27,NM
New York,Cervix,2017,Female,All Races,8.1,887,10079494,259,NY
North Carolina,Cervix,2017,Female,All Races,6.5,364,5272479,115,NC
North Dakota,Cervix,2017,Female,All Races,7.8,28,368134,Na,ND
Ohio,Cervix,2017,Female,All Races,8.1,491,5947760,174,OH
Oklahoma,Cervix,2017,Female,All Races,8.8,171,1984478,86,OK
Oregon,Cervix,2017,Female,All Races,6.6,141,2091356,47,OR
Pennsylvania,Cervix,2017,Female,All Races,7.3,503,6526911,150,PA
Rhode Island,Cervix,2017,Female,All Races,6.3,32,542930,Na,RI
South Carolina,Cervix,2017,Female,All Races,7.7,199,2585760,66,SC
South Dakota,Cervix,2017,Female,All Races,8.1,34,432265,Na,SD
Tennessee,Cervix,2017,Female,All Races,7.5,276,3435687,103,TN
Texas,Cervix,2017,Female,All Races,8.9,1246,14250938,429,TX
Utah,Cervix,2017,Female,All Races,6.3,89,1540313,30,UT
Vermont,Cervix,2017,Female,All Races,1,Na,316120,Na,VT
Virginia,Cervix,2017,Female,All Races,5.3,238,4299620,83,VA
Washington,Cervix,2017,Female,All Races,6.5,249,3711772,72,WA
West Virginia,Cervix,2017,Female,All Races,11.6,110,917552,29,WV
Wisconsin,Cervix,2017,Female,All Races,5.6,166,2911661,47,WI
Wyoming,Cervix,2017,Female,All Races,9.4,26,283606,Na,WY
Alabama,Colon and Rectum,2017,Male and Female,All Races,42.1,2527,4875120,954,AL
Alaska,Colon and Rectum,2017,Male and Female,All Races,43.7,311,739786,105,AK
Arizona,Colon and Rectum,2017,Male and Female,All Races,31.3,2674,7048876,1110,AZ
Arkansas,Colon and Rectum,2017,Male and Female,All Races,43,1579,3002997,571,AR
California,Colon and Rectum,2017,Male and Female,All Races,33.6,14518,39399349,5288,CA
Colorado,Colon and Rectum,2017,Male and Female,All Races,32.3,1958,5615902,705,CO
Connecticut,Colon and Rectum,2017,Male and Female,All Races,33.4,1507,3573880,473,CT
Delaware,Colon and Rectum,2017,Male and Female,All Races,37.3,449,957078,172,DE
District of Columbia,Colon and Rectum,2017,Male and Female,All Races,35.9,240,695691,93,DC
Florida,Colon and Rectum,2017,Male and Female,All Races,33.9,9869,20976812,3966,FL
Georgia,Colon and Rectum,2017,Male and Female,All Races,38.9,4401,10413055,1610,GA
Hawaii,Colon and Rectum,2017,Male and Female,All Races,39.8,706,1424203,224,HI
Idaho,Colon and Rectum,2017,Male and Female,All Races,33.5,648,1718904,257,ID
Illinois,Colon and Rectum,2017,Male and Female,All Races,40.4,6073,12786196,2223,IL
Indiana,Colon and Rectum,2017,Male and Female,All Races,40.5,3142,6660082,1222,IN
Iowa,Colon and Rectum,2017,Male and Female,All Races,40.7,1574,3143637,555,IA
Kansas,Colon and Rectum,2017,Male and Female,All Races,38.8,1298,2910689,508,KS
Kentucky,Colon and Rectum,2017,Male and Female,All Races,45,2424,4453874,886,KY
Louisiana,Colon and Rectum,2017,Male and Female,All Races,44.5,2394,4670818,903,LA
Maine,Colon and Rectum,2017,Male and Female,All Races,35.3,659,1335063,242,ME
Maryland,Colon and Rectum,2017,Male and Female,All Races,35.6,2519,6024891,947,MD
Massachusetts,Colon and Rectum,2017,Male and Female,All Races,32.2,2709,6863246,975,MA
Michigan,Colon and Rectum,2017,Male and Female,All Races,37.4,4607,9976447,1709,MI
Minnesota,Colon and Rectum,2017,Male and Female,All Races,37.2,2398,5568155,788,MN
Mississippi,Colon and Rectum,2017,Male and Female,All Races,47,1662,2989663,615,MS
Missouri,Colon and Rectum,2017,Male and Female,All Races,39.5,2952,6108612,1084,MO
Montana,Colon and Rectum,2017,Male and Female,All Races,37.5,500,1053090,169,MT
Nebraska,Colon and Rectum,2017,Male and Female,All Races,41.3,912,1917575,312,NE
Nevada,Colon and Rectum,2017,Male and Female,All Races,33.9,1167,2972405,575,NV
New Hampshire,Colon and Rectum,2017,Male and Female,All Races,32.7,577,1349767,235,NH
New Jersey,Colon and Rectum,2017,Male and Female,All Races,39.4,4283,8888543,1499,NJ
New Mexico,Colon and Rectum,2017,Male and Female,All Races,32.3,816,2093395,355,NM
New York,Colon and Rectum,2017,Male and Female,All Races,37.8,8987,19590719,3154,NY
North Carolina,Colon and Rectum,2017,Male and Female,All Races,35.2,4291,10270800,1529,NC
North Dakota,Colon and Rectum,2017,Male and Female,All Races,42,356,755176,101,ND
Ohio,Colon and Rectum,2017,Male and Female,All Races,39.5,5742,11664129,2206,OH
Oklahoma,Colon and Rectum,2017,Male and Female,All Races,40.4,1828,3932640,766,OK
Oregon,Colon and Rectum,2017,Male and Female,All Races,33.3,1697,4146592,635,OR
Pennsylvania,Colon and Rectum,2017,Male and Female,All Races,39.2,6579,12790447,2485,PA
Rhode Island,Colon and Rectum,2017,Male and Female,All Races,30.7,419,1056486,144,RI
South Carolina,Colon and Rectum,2017,Male and Female,All Races,34.7,2169,5021219,865,SC
South Dakota,Colon and Rectum,2017,Male and Female,All Races,39.8,419,873286,161,SD
Tennessee,Colon and Rectum,2017,Male and Female,All Races,38.6,3102,6708794,1228,TN
Texas,Colon and Rectum,2017,Male and Female,All Races,37.2,10587,28322717,3831,TX
Utah,Colon and Rectum,2017,Male and Female,All Races,29.9,798,3103118,272,UT
Vermont,Colon and Rectum,2017,Male and Female,All Races,34.7,294,624525,128,VT
Virginia,Colon and Rectum,2017,Male and Female,All Races,34.2,3337,8465207,1311,VA
Washington,Colon and Rectum,2017,Male and Female,All Races,35,2938,7425432,1046,WA
West Virginia,Colon and Rectum,2017,Male and Female,All Races,45.8,1136,1817048,394,WV
Wisconsin,Colon and Rectum,2017,Male and Female,All Races,34.6,2460,5792051,889,WI
Wyoming,Colon and Rectum,2017,Male and Female,All Races,34.2,233,578934,72,WY
Alabama,Corpus and Uterus NOS,2017,Female,All Races,20.5,665,2516043,123,AL
Alaska,Corpus and Uterus NOS,2017,Female,All Races,26,103,353363,Na,AK
Arizona,Corpus and Uterus NOS,2017,Female,All Races,22.8,1008,3544856,201,AZ
Arkansas,Corpus and Uterus NOS,2017,Female,All Races,25.3,500,1527580,103,AR
California,Corpus and Uterus NOS,2017,Female,All Races,26.6,6284,19817679,1201,CA
Colorado,Corpus and Uterus NOS,2017,Female,All Races,23.7,805,2789162,131,CO
Connecticut,Corpus and Uterus NOS,2017,Female,All Races,31.8,795,1830414,130,CT
Delaware,Corpus and Uterus NOS,2017,Female,All Races,31.6,219,494227,39,DE
District of Columbia,Corpus and Uterus NOS,2017,Female,All Races,31.9,119,365633,51,DC
Florida,Corpus and Uterus NOS,2017,Female,All Races,24,3726,10720481,785,FL
Georgia,Corpus and Uterus NOS,2017,Female,All Races,25.4,1642,5346767,323,GA
Hawaii,Corpus and Uterus NOS,2017,Female,All Races,37.1,327,710021,46,HI
Idaho,Corpus and Uterus NOS,2017,Female,All Races,24.4,259,857853,61,ID
Illinois,Corpus and Uterus NOS,2017,Female,All Races,30.5,2517,6504145,469,IL
Indiana,Corpus and Uterus NOS,2017,Female,All Races,28.1,1198,3376776,206,IN
Iowa,Corpus and Uterus NOS,2017,Female,All Races,28.3,594,1579859,121,IA
Kansas,Corpus and Uterus NOS,2017,Female,All Races,26.4,478,1460471,93,KS
Kentucky,Corpus and Uterus NOS,2017,Female,All Races,26.7,769,2259543,123,KY
Louisiana,Corpus and Uterus NOS,2017,Female,All Races,21.8,649,2388820,144,LA
Maine,Corpus and Uterus NOS,2017,Female,All Races,34.6,373,681341,62,ME
Maryland,Corpus and Uterus NOS,2017,Female,All Races,28.2,1153,3104138,249,MD
Massachusetts,Corpus and Uterus NOS,2017,Female,All Races,28.1,1346,3532186,225,MA
Michigan,Corpus and Uterus NOS,2017,Female,All Races,29.2,1996,5065155,416,MI
Minnesota,Corpus and Uterus NOS,2017,Female,All Races,30.4,1091,2795630,182,MN
Mississippi,Corpus and Uterus NOS,2017,Female,All Races,21.5,418,1539413,80,MS
Missouri,Corpus and Uterus NOS,2017,Female,All Races,27.6,1142,3109948,232,MO
Montana,Corpus and Uterus NOS,2017,Female,All Races,30.3,214,522925,31,MT
Nebraska,Corpus and Uterus NOS,2017,Female,All Races,27.1,321,960319,60,NE
Nevada,Corpus and Uterus NOS,2017,Female,All Races,22.2,406,1481115,84,NV
New Hampshire,Corpus and Uterus NOS,2017,Female,All Races,29.6,294,681409,61,NH
New Jersey,Corpus and Uterus NOS,2017,Female,All Races,32.1,1985,4548298,371,NJ
New Mexico,Corpus and Uterus NOS,2017,Female,All Races,23.5,324,1057085,63,NM
New York,Corpus and Uterus NOS,2017,Female,All Races,31.6,4181,10079494,833,NY
North Carolina,Corpus and Uterus NOS,2017,Female,All Races,25.8,1777,5272479,382,NC
North Dakota,Corpus and Uterus NOS,2017,Female,All Races,28.7,123,368134,20,ND
Ohio,Corpus and Uterus NOS,2017,Female,All Races,32.2,2558,5947760,472,OH
Oklahoma,Corpus and Uterus NOS,2017,Female,All Races,22.3,527,1984478,120,OK
Oregon,Corpus and Uterus NOS,2017,Female,All Races,29.4,818,2091356,138,OR
Pennsylvania,Corpus and Uterus NOS,2017,Female,All Races,32,2933,6526911,562,PA
Rhode Island,Corpus and Uterus NOS,2017,Female,All Races,29.6,224,542930,46,RI
South Carolina,Corpus and Uterus NOS,2017,Female,All Races,22.3,785,2585760,189,SC
South Dakota,Corpus and Uterus NOS,2017,Female,All Races,29.4,155,432265,34,SD
Tennessee,Corpus and Uterus NOS,2017,Female,All Races,25.2,1120,3435687,199,TN
Texas,Corpus and Uterus NOS,2017,Female,All Races,23.4,3630,14250938,681,TX
Utah,Corpus and Uterus NOS,2017,Female,All Races,25.7,373,1540313,58,UT
Vermont,Corpus and Uterus NOS,2017,Female,All Races,34.4,165,316120,30,VT
Virginia,Corpus and Uterus NOS,2017,Female,All Races,24.3,1345,4299620,253,VA
Washington,Corpus and Uterus NOS,2017,Female,All Races,25.7,1184,3711772,217,WA
West Virginia,Corpus and Uterus NOS,2017,Female,All Races,32.9,438,917552,62,WV
Wisconsin,Corpus and Uterus NOS,2017,Female,All Races,31.4,1225,2911661,210,WI
Wyoming,Corpus and Uterus NOS,2017,Female,All Races,22.5,87,283606,Na,WY
Alabama,Esophagus,2017,Male and Female,All Races,4.5,285,4875120,254,AL
Alaska,Esophagus,2017,Male and Female,All Races,5.8,44,739786,35,AK
Arizona,Esophagus,2017,Male and Female,All Races,3.9,356,7048876,333,AZ
Arkansas,Esophagus,2017,Male and Female,All Races,4.4,169,3002997,128,AR
California,Esophagus,2017,Male and Female,All Races,3.3,1457,39399349,1309,CA
Colorado,Esophagus,2017,Male and Female,All Races,4.3,265,5615902,228,CO
Connecticut,Esophagus,2017,Male and Female,All Races,5,237,3573880,159,CT
Delaware,Esophagus,2017,Male and Female,All Races,4.9,62,957078,51,DE
District of Columbia,Esophagus,2017,Male and Female,All Races,2.6,17,695691,18,DC
Florida,Esophagus,2017,Male and Female,All Races,4.2,1321,20976812,1107,FL
Georgia,Esophagus,2017,Male and Female,All Races,4.2,496,10413055,403,GA
Hawaii,Esophagus,2017,Male and Female,All Races,4.1,79,1424203,60,HI
Idaho,Esophagus,2017,Male and Female,All Races,5,101,1718904,98,ID
Illinois,Esophagus,2017,Male and Female,All Races,4.5,693,12786196,622,IL
Indiana,Esophagus,2017,Male and Female,All Races,5.6,463,6660082,402,IN
Iowa,Esophagus,2017,Male and Female,All Races,6.4,263,3143637,200,IA
Kansas,Esophagus,2017,Male and Female,All Races,4.8,176,2910689,162,KS
Kentucky,Esophagus,2017,Male and Female,All Races,5.5,315,4453874,279,KY
Louisiana,Esophagus,2017,Male and Female,All Races,3.8,215,4670818,215,LA
Maine,Esophagus,2017,Male and Female,All Races,5.8,118,1335063,112,ME
Maryland,Esophagus,2017,Male and Female,All Races,4.2,301,6024891,251,MD
Massachusetts,Esophagus,2017,Male and Female,All Races,5.1,448,6863246,391,MA
Michigan,Esophagus,2017,Male and Female,All Races,5.1,684,9976447,579,MI
Minnesota,Esophagus,2017,Male and Female,All Races,4.6,319,5568155,286,MN
Mississippi,Esophagus,2017,Male and Female,All Races,4,149,2989663,113,MS
Missouri,Esophagus,2017,Male and Female,All Races,5.1,405,6108612,375,MO
Montana,Esophagus,2017,Male and Female,All Races,4.4,64,1053090,79,MT
Nebraska,Esophagus,2017,Male and Female,All Races,4.6,110,1917575,106,NE
Nevada,Esophagus,2017,Male and Female,All Races,4.4,162,2972405,135,NV
New Hampshire,Esophagus,2017,Male and Female,All Races,6.1,115,1349767,109,NH
New Jersey,Esophagus,2017,Male and Female,All Races,4.2,478,8888543,401,NJ
New Mexico,Esophagus,2017,Male and Female,All Races,4.1,109,2093395,102,NM
New York,Esophagus,2017,Male and Female,All Races,4.2,1029,19590719,878,NY
North Carolina,Esophagus,2017,Male and Female,All Races,4.2,544,10270800,446,NC
North Dakota,Esophagus,2017,Male and Female,All Races,5.7,49,755176,31,ND
Ohio,Esophagus,2017,Male and Female,All Races,5.3,814,11664129,723,OH
Oklahoma,Esophagus,2017,Male and Female,All Races,4.4,211,3932640,186,OK
Oregon,Esophagus,2017,Male and Female,All Races,4.8,261,4146592,248,OR
Pennsylvania,Esophagus,2017,Male and Female,All Races,5.1,906,12790447,771,PA
Rhode Island,Esophagus,2017,Male and Female,All Races,4.4,61,1056486,50,RI
South Carolina,Esophagus,2017,Male and Female,All Races,4.2,282,5021219,249,SC
South Dakota,Esophagus,2017,Male and Female,All Races,5.6,62,873286,60,SD
Tennessee,Esophagus,2017,Male and Female,All Races,4.6,398,6708794,360,TN
Texas,Esophagus,2017,Male and Female,All Races,3.8,1111,28322717,845,TX
Utah,Esophagus,2017,Male and Female,All Races,3.3,90,3103118,80,UT
Vermont,Esophagus,2017,Male and Female,All Races,4.5,40,624525,49,VT
Virginia,Esophagus,2017,Male and Female,All Races,4,411,8465207,393,VA
Washington,Esophagus,2017,Male and Female,All Races,4.7,414,7425432,361,WA
West Virginia,Esophagus,2017,Male and Female,All Races,5,136,1817048,136,WV
Wisconsin,Esophagus,2017,Male and Female,All Races,5.1,380,5792051,330,WI
Wyoming,Esophagus,2017,Male and Female,All Races,2.4,18,578934,23,WY
Alabama,Female Breast,2017,Female,All Races,117.1,3694,2516043,695,AL
Alaska,Female Breast,2017,Female,All Races,111.2,398,353363,60,AK
Arizona,Female Breast,2017,Female,All Races,109,4754,3544856,830,AZ
Arkansas,Female Breast,2017,Female,All Races,114.6,2163,1527580,414,AR
California,Female Breast,2017,Female,All Races,121.2,27436,19817679,4588,CA
Colorado,Female Breast,2017,Female,All Races,132,4191,2789162,629,CO
Connecticut,Female Breast,2017,Female,All Races,136.9,3236,1830414,466,CT
Delaware,Female Breast,2017,Female,All Races,119.3,765,494227,150,DE
District of Columbia,Female Breast,2017,Female,All Races,145.9,519,365633,92,DC
Florida,Female Breast,2017,Female,All Races,113.7,16684,10720481,2952,FL
Georgia,Female Breast,2017,Female,All Races,127,7757,5346767,1334,GA
Hawaii,Female Breast,2017,Female,All Races,144.3,1285,710021,155,HI
Idaho,Female Breast,2017,Female,All Races,135.9,1326,857853,222,ID
Illinois,Female Breast,2017,Female,All Races,132,10332,6504145,1708,IL
Indiana,Female Breast,2017,Female,All Races,119.5,4945,3376776,902,IN
Iowa,Female Breast,2017,Female,All Races,137.2,2674,1579859,390,IA
Kansas,Female Breast,2017,Female,All Races,133.3,2289,1460471,345,KS
Kentucky,Female Breast,2017,Female,All Races,125.7,3551,2259543,633,KY
Louisiana,Female Breast,2017,Female,All Races,128.8,3633,2388820,692,LA
Maine,Female Breast,2017,Female,All Races,128.4,1256,681341,186,ME
Maryland,Female Breast,2017,Female,All Races,131.1,4958,3104138,857,MD
Massachusetts,Female Breast,2017,Female,All Races,135.4,5966,3532186,893,MA
Michigan,Female Breast,2017,Female,All Races,119,7582,5065155,1311,MI
Minnesota,Female Breast,2017,Female,All Races,138.3,4639,2795630,612,MN
Mississippi,Female Breast,2017,Female,All Races,118.9,2204,1539413,489,MS
Missouri,Female Breast,2017,Female,All Races,131.9,5124,3109948,867,MO
Montana,Female Breast,2017,Female,All Races,137.5,933,522925,130,MT
Nebraska,Female Breast,2017,Female,All Races,129.6,1446,960319,243,NE
Nevada,Female Breast,2017,Female,All Races,118,2089,1481115,368,NV
New Hampshire,Female Breast,2017,Female,All Races,136.3,1229,681409,160,NH
New Jersey,Female Breast,2017,Female,All Races,138.4,7893,4548298,1239,NJ
New Mexico,Female Breast,2017,Female,All Races,112.7,1470,1057085,281,NM
New York,Female Breast,2017,Female,All Races,134.6,16668,10079494,2457,NY
North Carolina,Female Breast,2017,Female,All Races,133.3,8738,5272479,1451,NC
North Dakota,Female Breast,2017,Female,All Races,129.3,543,368134,95,ND
Ohio,Female Breast,2017,Female,All Races,130.1,9830,5947760,1758,OH
Oklahoma,Female Breast,2017,Female,All Races,124.1,2953,1984478,556,OK
Oregon,Female Breast,2017,Female,All Races,119,3154,2091356,506,OR
Pennsylvania,Female Breast,2017,Female,All Races,131.2,11213,6526911,1984,PA
Rhode Island,Female Breast,2017,Female,All Races,137.3,960,542930,125,RI
South Carolina,Female Breast,2017,Female,All Races,129.8,4291,2585760,695,SC
South Dakota,Female Breast,2017,Female,All Races,125,645,432265,102,SD
Tennessee,Female Breast,2017,Female,All Races,118.4,5095,3435687,934,TN
Texas,Female Breast,2017,Female,All Races,112.6,16967,14250938,2984,TX
Utah,Female Breast,2017,Female,All Races,112.4,1584,1540313,280,UT
Vermont,Female Breast,2017,Female,All Races,125.1,539,316120,80,VT
Virginia,Female Breast,2017,Female,All Races,121.1,6327,4299620,1175,VA
Washington,Female Breast,2017,Female,All Races,132.9,5897,3711772,888,WA
West Virginia,Female Breast,2017,Female,All Races,115.3,1474,917552,300,WV
Wisconsin,Female Breast,2017,Female,All Races,133.1,4858,2911661,679,WI
Wyoming,Female Breast,2017,Female,All Races,107.6,363,283606,58,WY
Alabama,Hodgkin Lymphoma,2017,Male and Female,All Races,2.6,129,4875120,Na,AL
Alaska,Hodgkin Lymphoma,2017,Male and Female,All Races,2.8,19,739786,Na,AK
Arizona,Hodgkin Lymphoma,2017,Male and Female,All Races,1.9,146,7048876,29,AZ
Arkansas,Hodgkin Lymphoma,2017,Male and Female,All Races,2.5,77,3002997,Na,AR
California,Hodgkin Lymphoma,2017,Male and Female,All Races,2.1,866,39399349,127,CA
Colorado,Hodgkin Lymphoma,2017,Male and Female,All Races,2.3,135,5615902,Na,CO
Connecticut,Hodgkin Lymphoma,2017,Male and Female,All Races,3,114,3573880,Na,CT
Delaware,Hodgkin Lymphoma,2017,Male and Female,All Races,2.5,24,957078,Na,DE
District of Columbia,Hodgkin Lymphoma,2017,Male and Female,All Races,2.7,20,695691,Na,DC
Florida,Hodgkin Lymphoma,2017,Male and Female,All Races,3.2,702,20976812,83,FL
Georgia,Hodgkin Lymphoma,2017,Male and Female,All Races,2.2,232,10413055,21,GA
Hawaii,Hodgkin Lymphoma,2017,Male and Female,All Races,1.7,25,1424203,Na,HI
Idaho,Hodgkin Lymphoma,2017,Male and Female,All Races,2.5,44,1718904,Na,ID
Illinois,Hodgkin Lymphoma,2017,Male and Female,All Races,2.9,385,12786196,40,IL
Indiana,Hodgkin Lymphoma,2017,Male and Female,All Races,2.6,179,6660082,Na,IN
Iowa,Hodgkin Lymphoma,2017,Male and Female,All Races,2.6,82,3143637,Na,IA
Kansas,Hodgkin Lymphoma,2017,Male and Female,All Races,2.4,70,2910689,Na,KS
Kentucky,Hodgkin Lymphoma,2017,Male and Female,All Races,2.6,118,4453874,28,KY
Louisiana,Hodgkin Lymphoma,2017,Male and Female,All Races,2.8,136,4670818,18,LA
Maine,Hodgkin Lymphoma,2017,Male and Female,All Races,2.3,36,1335063,Na,ME
Maryland,Hodgkin Lymphoma,2017,Male and Female,All Races,2.5,154,6024891,Na,MD
Massachusetts,Hodgkin Lymphoma,2017,Male and Female,All Races,2.7,186,6863246,19,MA
Michigan,Hodgkin Lymphoma,2017,Male and Female,All Races,2.3,236,9976447,31,MI
Minnesota,Hodgkin Lymphoma,2017,Male and Female,All Races,2.7,152,5568155,Na,MN
Mississippi,Hodgkin Lymphoma,2017,Male and Female,All Races,2.4,73,2989663,Na,MS
Missouri,Hodgkin Lymphoma,2017,Male and Female,All Races,2.6,161,6108612,17,MO
Montana,Hodgkin Lymphoma,2017,Male and Female,All Races,1.9,21,1053090,Na,MT
Nebraska,Hodgkin Lymphoma,2017,Male and Female,All Races,3.2,64,1917575,Na,NE
Nevada,Hodgkin Lymphoma,2017,Male and Female,All Races,2.2,67,2972405,Na,NV
New Hampshire,Hodgkin Lymphoma,2017,Male and Female,All Races,2.7,37,1349767,Na,NH
New Jersey,Hodgkin Lymphoma,2017,Male and Female,All Races,3.3,301,8888543,18,NJ
