Area,CancerType,Year,Sex,Race,AgeAdjustedRate,DeathCount,Population
North Carolina,Esophagus,2017,Male and Female,All Races,3.5,446,10270800
South Dakota,Esophagus,2017,Male and Female,All Races,5.8,60,873286
Missouri,Esophagus,2017,Male and Female,All Races,4.8,375,6108612
Maine,Esophagus,2017,Male and Female,All Races,5.6,112,1335063
Kansas,Esophagus,2017,Male and Female,All Races,4.6,162,2910689
Hawaii,Esophagus,2017,Male and Female,All Races,3.2,60,1424203
District of Columbia,Esophagus,2017,Male and Female,All Races,2.7,18,695691
North Dakota,Esophagus,2017,Male and Female,All Races,3.3,31,755176
Delaware,Esophagus,2017,Male and Female,All Races,3.8,51,957078
Nebraska,Esophagus,2017,Male and Female,All Races,4.6,106,1917575
Arkansas,Esophagus,2017,Male and Female,All Races,3.4,128,3002997
Iowa,Esophagus,2017,Male and Female,All Races,4.8,200,3143637
Wisconsin,Esophagus,2017,Male and Female,All Races,4.4,330,5792051
Pennsylvania,Esophagus,2017,Male and Female,All Races,4.4,771,12790447
Kentucky,Esophagus,2017,Male and Female,All Races,5,279,4453874
Alabama,Esophagus,2017,Male and Female,All Races,4,254,4875120
South Carolina,Esophagus,2017,Male and Female,All Races,3.7,249,5021219
Louisiana,Esophagus,2017,Male and Female,All Races,3.8,215,4670818
Vermont,Esophagus,2017,Male and Female,All Races,5.4,49,624525
Arizona,Esophagus,2017,Male and Female,All Races,3.7,333,7048876
Ohio,Esophagus,2017,Male and Female,All Races,4.7,723,11664129
New Jersey,Esophagus,2017,Male and Female,All Races,3.6,401,8888543
New Hampshire,Esophagus,2017,Male and Female,All Races,5.9,109,1349767
New York,Esophagus,2017,Male and Female,All Races,3.5,878,19590719
Illinois,Esophagus,2017,Male and Female,All Races,4,622,12786196
Indiana,Esophagus,2017,Male and Female,All Races,4.9,402,6660082
Massachusetts,Esophagus,2017,Male and Female,All Races,4.4,391,6863246
Michigan,Esophagus,2017,Male and Female,All Races,4.4,579,9976447
Connecticut,Esophagus,2017,Male and Female,All Races,3.3,159,3573880
Nevada,Female Breast,2017,Female,All Races,21.3,368,1481115
Idaho,Female Breast,2017,Female,All Races,21.6,222,857853
Wyoming,Female Breast,2017,Female,All Races,16.6,58,283606
Colorado,Female Breast,2017,Female,All Races,19.3,629,2789162
Georgia,Female Breast,2017,Female,All Races,21.9,1334,5346767
Montana,Female Breast,2017,Female,All Races,17.6,130,522925
Texas,Female Breast,2017,Female,All Races,19.8,2984,14250938
New Mexico,Female Breast,2017,Female,All Races,20.2,281,1057085
Utah,Female Breast,2017,Female,All Races,20.2,280,1540313
California,Female Breast,2017,Female,All Races,19.4,4588,19817679
Alaska,Female Breast,2017,Female,All Races,16.7,60,353363
Oregon,Female Breast,2017,Female,All Races,18.3,506,2091356
Virginia,Female Breast,2017,Female,All Races,21.8,1175,4299620
Mississippi,Female Breast,2017,Female,All Races,25.5,489,1539413
West Virginia,Female Breast,2017,Female,All Races,22.2,300,917552
Tennessee,Female Breast,2017,Female,All Races,21,934,3435687
Rhode Island,Female Breast,2017,Female,All Races,16.4,125,542930
Minnesota,Female Breast,2017,Female,All Races,16.7,612,2795630
Oklahoma,Female Breast,2017,Female,All Races,22.3,556,1984478
Florida,Female Breast,2017,Female,All Races,18.5,2952,10720481
Maryland,Female Breast,2017,Female,All Races,21.6,857,3104138
North Carolina,Female Breast,2017,Female,All Races,21.5,1451,5272479
Washington,Female Breast,2017,Female,All Races,19.3,888,3711772
South Dakota,Female Breast,2017,Female,All Races,17.5,102,432265
Missouri,Female Breast,2017,Female,All Races,21.1,867,3109948
Maine,Female Breast,2017,Female,All Races,18.5,186,681341
Kansas,Female Breast,2017,Female,All Races,18.5,345,1460471
Hawaii,Female Breast,2017,Female,All Races,15.6,155,710021
District of Columbia,Female Breast,2017,Female,All Races,24.3,92,365633
North Dakota,Female Breast,2017,Female,All Races,19.5,95,368134
Nebraska,Female Breast,2017,Female,All Races,19.7,243,960319
Iowa,Female Breast,2017,Female,All Races,17.9,390,1579859
Wisconsin,Female Breast,2017,Female,All Races,17.3,679,2911661
Arkansas,Female Breast,2017,Female,All Races,20.6,414,1527580
Pennsylvania,Female Breast,2017,Female,All Races,20.7,1984,6526911
Kentucky,Female Breast,2017,Female,All Races,21.3,633,2259543
South Carolina,Female Breast,2017,Female,All Races,20.6,695,2585760
Alabama,Female Breast,2017,Female,All Races,21.2,695,2516043
Vermont,Female Breast,2017,Female,All Races,17.3,80,316120
Ohio,Female Breast,2017,Female,All Races,21.9,1758,5947760
New Jersey,Female Breast,2017,Female,All Races,20,1239,4548298
Delaware,Female Breast,2017,Female,All Races,22.1,150,494227
New Hampshire,Female Breast,2017,Female,All Races,16.1,160,681409
New York,Female Breast,2017,Female,All Races,18.1,2457,10079494
Illinois,Female Breast,2017,Female,All Races,20.4,1708,6504145
Indiana,Female Breast,2017,Female,All Races,20.9,902,3376776
Arizona,Female Breast,2017,Female,All Races,18,830,3544856
Louisiana,Female Breast,2017,Female,All Races,23.5,692,2388820
Massachusetts,Female Breast,2017,Female,All Races,18.5,893,3532186
Michigan,Female Breast,2017,Female,All Races,19.2,1311,5065155
Connecticut,Female Breast,2017,Female,All Races,18.3,466,1830414
Nevada,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2972405
Idaho,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1718904
Wyoming,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,578934
Colorado,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,5615902
Georgia,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,21,10413055
Texas,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,87,28322717
Montana,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1053090
New Mexico,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2093395
Utah,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,3103118
California,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,127,39399349
Alaska,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,739786
Oregon,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,4146592
Virginia,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,21,8465207
Mississippi,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2989663
West Virginia,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1817048
Washington,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,16,7425432
Tennessee,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,26,6708794
Rhode Island,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1056486
Minnesota,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,5568155
Florida,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,83,20976812
Oklahoma,Hodgkin Lymphoma,2017,Male and Female,All Races,0.5,22,3932640
Maryland,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,6024891
North Carolina,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,36,10270800
South Dakota,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,873286
Missouri,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,17,6108612
Maine,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1335063
Kansas,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,2910689
Hawaii,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1424203
District of Columbia,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,695691
North Dakota,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,755176
Alabama,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,4875120
Delaware,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,957078
Nebraska,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1917575
Arkansas,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,3002997
Iowa,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,3143637
Wisconsin,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,20,5792051
Pennsylvania,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,27,12790447
Kentucky,Hodgkin Lymphoma,2017,Male and Female,All Races,0.5,28,4453874
South Carolina,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,5021219
Louisiana,Hodgkin Lymphoma,2017,Male and Female,All Races,0.4,18,4670818
Arizona,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,29,7048876
Vermont,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,624525
Ohio,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,44,11664129
New Jersey,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,18,8888543
New Hampshire,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1349767
New York,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,59,19590719
Illinois,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,40,12786196
Indiana,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,6660082
Michigan,Hodgkin Lymphoma,2017,Male and Female,All Races,0.3,31,9976447
Massachusetts,Hodgkin Lymphoma,2017,Male and Female,All Races,0.2,19,6863246
Connecticut,Hodgkin Lymphoma,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,3573880
Nevada,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.6,120,2972405
Idaho,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.2,83,1718904
Wyoming,Kidney and Renal Pelvis,2017,Male and Female,All Races,5.3,37,578934
Colorado,Kidney and Renal Pelvis,2017,Male and Female,All Races,2.7,162,5615902
Montana,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.3,49,1053090
Georgia,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.6,402,10413055
Texas,Kidney and Renal Pelvis,2017,Male and Female,All Races,4,1133,28322717
New Mexico,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.6,96,2093395
Utah,Kidney and Renal Pelvis,2017,Male and Female,All Races,3,79,3103118
California,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.3,1420,39399349
Alaska,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.7,22,739786
Oregon,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.6,190,4146592
Virginia,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.1,312,8465207
Mississippi,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.4,160,2989663
West Virginia,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.5,115,1817048
Washington,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.3,285,7425432
Tennessee,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.1,338,6708794
Rhode Island,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.7,50,1056486
Minnesota,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.4,234,5568155
Florida,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.1,966,20976812
Oklahoma,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.8,229,3932640
Maryland,Kidney and Renal Pelvis,2017,Male and Female,All Races,3,212,6024891
North Carolina,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.7,459,10270800
South Dakota,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.9,43,873286
Missouri,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.4,339,6108612
Maine,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.5,70,1335063
Kansas,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.6,156,2910689
Hawaii,Kidney and Renal Pelvis,2017,Male and Female,All Races,2.4,44,1424203
District of Columbia,Kidney and Renal Pelvis,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,695691
North Dakota,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.1,27,755176
Delaware,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.6,46,957078
Nebraska,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.8,111,1917575
Arkansas,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.7,177,3002997
Iowa,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.4,181,3143637
Wisconsin,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.9,285,5792051
Pennsylvania,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.5,621,12790447
Alabama,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.8,239,4875120
Kentucky,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.2,230,4453874
South Carolina,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.3,210,5021219
Louisiana,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.5,250,4670818
Vermont,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.4,37,624525
Arizona,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.7,327,7048876
Ohio,Kidney and Renal Pelvis,2017,Male and Female,All Races,4,598,11664129
New Jersey,Kidney and Renal Pelvis,2017,Male and Female,All Races,2.8,322,8888543
New Hampshire,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.2,58,1349767
New York,Kidney and Renal Pelvis,2017,Male and Female,All Races,2.8,678,19590719
Illinois,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.6,548,12786196
Indiana,Kidney and Renal Pelvis,2017,Male and Female,All Races,4.3,336,6660082
Michigan,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.7,468,9976447
Massachusetts,Kidney and Renal Pelvis,2017,Male and Female,All Races,2.8,244,6863246
Connecticut,Kidney and Renal Pelvis,2017,Male and Female,All Races,3.2,146,3573880
Nevada,Larynx,2017,Male and Female,All Races,0.6,23,2972405
Idaho,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1718904
Wyoming,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,578934
Colorado,Larynx,2017,Male and Female,All Races,0.6,35,5615902
Georgia,Larynx,2017,Male and Female,All Races,1.1,122,10413055
Texas,Larynx,2017,Male and Female,All Races,0.8,237,28322717
Montana,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,1053090
New Mexico,Larynx,2017,Male and Female,All Races,0.8,20,2093395
Utah,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,3103118
California,Larynx,2017,Male and Female,All Races,0.6,249,39399349
Alaska,Larynx,2017,Male and Female,All Races,Data Suppressed,Data Suppressed,739786
